country,AutismRates,In percentage
Rwanda,394.77,39.477%
Benin,398.78,39.878%
Burundi,404.31,40.431%
Bolivia,349.68,34.968%
Tunisia,284.45,28.445%
Haiti,347.61,34.761%
Belgium,526.13,52.613%
Dominican Republic,344.93,34.493%
Jordan,308.39,30.839%
South Sudan,405.94,40.594%
Cuba,330.9,33.09%
Honduras,343.9,34.39%
Sweden,661.85,66.185%
Papua New Guinea,303.49,30.349%
Czech Republic,350.85,35.085%
Azerbaijan,374.48,37.448%
Tajikistan,392.35,39.235%
Greece,515.7,51.57%
Portugal,496.61,49.661%
Hungary,340.31,34.031%
United Arab Emirates,345.65,34.565%
Belarus,369.95,36.995%
Israel,504.49,50.449%
Togo,391.57,39.157%
Sierra Leone,394.26,39.426%
Austria,526.02,52.602%
Switzerland,535.43,53.543%
Laos,320.11,32.011%
Nicaragua,345.68,34.568%
Serbia,349.77,34.977%
Libya,285.54,28.554%
Paraguay,360.94,36.094%
Kyrgyzstan,383.37,38.337%
Bulgaria,335.58,33.558%
Turkmenistan,385.01,38.501%
El Salvador,329.55,32.955%
Republic of the Congo,389.36,38.936%
Singapore,561.99,56.199%
Denmark,403.84,40.384%
Central African Republic,393.35,39.335%
Slovakia,349.18,34.918%
Finland,514.68,51.468%
Liberia,395.17,39.517%
Norway,457.9,45.79%
Palestine,306.27,30.627%
New Zealand,413.73,41.373%
Costa Rica,336.14,33.614%
Lebanon,300.46,30.046%
Ireland,583.69,58.369%
Mauritania,393.59,39.359%
Oman,318.37,31.837%
Panama,341.49,34.149%
Kuwait,302.64,30.264%
Croatia,346.79,34.679%
Eritrea,402.76,40.276%
Georgia,357.04,35.704%
Mongolia,377.05,37.705%
Uruguay,458.01,45.801%
Moldova,370.86,37.086%
Puerto Rico,319.38,31.938%
Bosnia and Herzegovina,351.68,35.168%
Gambia,394.95,39.495%
Albania,351.75,35.175%
Jamaica,343.29,34.329%
Armenia,365.97,36.597%
Qatar,361.09,36.109%
Botswana,383.33,38.333%
Lithuania,369.32,36.932%
Namibia,384.02,38.402%
Gabon,381.83,38.183%
Lesotho,383.95,38.395%
Guinea-Bissau,393.17,39.317%
Slovenia,351.37,35.137%
North Macedonia,360.3,36.03%
Latvia,362.53,36.253%
Equatorial Guinea,414.35,41.435%
Trinidad and Tobago,332.33,33.233%
Bahrain,320.99,32.099%
Timor-Leste,328.2,32.82%
Estonia,369.49,36.949%
Mauritius,304.42,30.442%
Cyprus,535.35,53.535%
Eswatini,387.68,38.768%
Djibouti,407.13,40.713%
Fiji,292.45,29.245%
Comoros,392.33,39.233%
Guyana,342.14,34.214%
Bhutan,303.14,30.314%
Solomon Islands,304.45,30.445%
Luxembourg,541.66,54.166%
Suriname,336.61,33.661%
Montenegro,356.42,35.642%
Cape Verde,386.63,38.663%
Malta,537.95,53.795%
Maldives,353.25,35.325%
Brunei,572.01,57.201%
Belize,347.96,34.796%
Bahamas,331.51,33.151%
Iceland,543.42,54.342%
Vanuatu,300.28,30.028%
Barbados,324.42,32.442%
Sao Tome and Principe,392.05,39.205%
Samoa,303.39,30.339%
Saint Lucia,332.71,33.271%
Guam,293.22,29.322%
Kiribati,293.28,29.328%
Grenada,344.62,34.462%
Micronesia,295.72,29.572%
Tonga,296.04,29.604%
Seychelles,318.54,31.854%
Saint Vincent and the Grenadines,338.63,33.863%
United States Virgin Islands,321.31,32.131%
Antigua and Barbuda,335.25,33.525%
Andorra,547.02,54.702%
Dominica,336.62,33.662%
Bermuda,321.11,32.111%
Greenland,482.92,48.292%
Northern Mariana Islands,288.61,28.861%
Saint Kitts and Nevis,332.06,33.206%
American Samoa,295.51,29.551%
Marshall Islands,297.69,29.769%
Monaco,495.34,49.534%
San Marino,526.64,52.664%
Palau,292.4,29.24%
Cook Islands,282.62,28.262%
Nauru,302.28,30.228%
Tuvalu,294.15,29.415%
Niue,283.89,28.389%
Tokelau,295.79,29.579%
